Graph Name,N,M,Density,S-T Dist,Diameter,PR_seq Flow,PR_seq Time,PBBS Flow,PBBS Time 1T,PBBS Time 2T,PBBS Time 4T,PBBS Time 8T,PBBS Time 16T,PBBS Time 32T,PBBS Time 64T
CHEM_5_sym_wgh.adj,4208261,29650038,7.04567,1,12549,12156,1.433000,12156,.277000,.272000,.428000,.468000,.546000,.903000,1.120000
africa_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,10.668300,N/A,0,0,0,0,0,0,.002000
africa_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,32.502500,N/A,10.139000,10.432000,11.720000,9.899000,11.249000,11.295000,10.430000
bulgaria_wgh.adj,898952,1201248,1.33628,563,745,6,.254078,6,.145000,.143000,.145000,.146000,.145000,.145000,.149000
north-america_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,25,87.242900,25,82.693000,69.278000,73.971000,79.292000,79.296000,75.552000,74.799000
asia_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,39.291400,N/A,0,0,0,0,0,0,.002000
hugebubbles-00020.adj,21198119,63580358,2.99934,2,7810,65942,12.050500,65942,5.023000,5.309000,6.312000,6.559000,6.399000,5.674000,6.079000
CHEM_2_wgh.adj,4208261,8416522,2,1,268,2322,.427745,2322,.208000,.220000,.220000,.219000,.223000,.224000,.220000
Cosmo50_10_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
Household_5_sym_wgh.adj,2049280,13004348,6.34581,11,1346,0,1.340630,N/A,0,0,0,0,0,0,.002000
HT_10_sym_wgh.adj,928991,11097996,11.9463,1,1205,1,.401273,1,.316000,.322000,.323000,.324000,.347000,.357000,.329000
Cosmo50_10_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
CHEM_10_sym_wgh.adj,4208261,58022728,13.7878,1,22961,46948,3.232000,46948,1.630000,1.632000,1.653000,1.685000,1.671000,1.888000,2.248000
hugetrace-00020.adj,16002413,47997626,2.9994,5,4472,59067,9.597140,59067,4.328000,5.254000,5.115000,5.439000,5.927000,6.535000,6.917000
Cosmo50_5_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
